tra_v_genes	tra_j_genes	trb_v_genes	trb_j_genes	trb_c_genes	VAC	Fill	proportion
TRAV12-3	TRAJ40	TRBV10-3	TRBJ1-2	TRBC1	PREV	AB191	0.000165453
TRAV12-2	TRAJ37	TRBV6-1	TRBJ1-2	TRBC1	PREV	AB192	0.000165453
TRAV8-3	TRAJ30	TRBV20-1	TRBJ2-1	TRBC2	PREV	AB193	0.000165453
TRAV12-2	TRAJ17	TRBV2	TRBJ2-3	TRBC2	PREV	AB194	0.000165453
TRAV14/DV4/AV8-2	TRAJ15/AJ12	TRBV28	TRBJ2-5	TRBC2	PREV	AB195	0.000165453
TRAV13-1	TRAJ24	TRBV28	TRBJ2-7	TRBC2	PREV	AB196	0.000165453
TRAV12-2	TRAJ45	TRBV20-1	TRBJ2-6	TRBC2	PREV	AB197	0.000165453
TRAV19	TRAJ8	TRBV7-9/BV28	TRBJ1-3/BJ2-3	TRBC1/BC2	PREV	AB198	0.000165453
TRAV3	TRAJ7	TRBV5-1	TRBJ2-7	TRBC2	PREV	AB199	0.000165453
TRAV13-2	TRAJ12	TRBV4-1	TRBJ2-3	TRBC2	PREV	AB200	0.000165453
TRAV10	TRAJ18	TRBV25-1	TRBJ2-1	TRBC2	PREV	AB201	0.000165453
TRAV19	TRAJ45	TRBV19	TRBJ2-7	TRBC2	PREV	AB202	0.000165453
TRAV38-1	TRAJ57	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB203	0.000165453
TRAV29/DV5	TRAJ8	TRBV6-5	TRBJ2-3	TRBC2	PREV	AB204	0.000165453
TRAV29/DV5	TRAJ44	TRBV29-1	TRBJ2-7	TRBC2	PREV	AB205	0.000165453
TRAV29/DV5	TRAJ28	TRBV6-2	TRBJ1-2	TRBC1	PREV	AB206	0.000165453
TRAV29/DV5	TRAJ39	TRBV28	TRBJ2-3	TRBC2	PREV	AB207	0.000165453
TRAV13-1	TRAJ11	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB208	0.000165453
TRAV13-1	TRAJ11	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB209	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-4	TRBJ2-2	TRBC2	PREV	AB210	0.000165453
TRAV_NA	TRAJ_NA	TRBV19	TRBJ1-1	TRBC1	PREV	AB211	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-1	TRBJ1-5	TRBC1	PREV	AB212	0.000165453
TRAV_NA	TRAJ_NA	TRBV18	TRBJ2-2	TRBC2	PREV	AB213	0.000165453
TRAV_NA	TRAJ_NA	TRBV2	TRBJ1-1	TRBC1	PREV	AB214	0.000165453
TRAV_NA	TRAJ_NA	TRBV2	TRBJ2-7	TRBC2	PREV	AB215	0.000165453
TRAV_NA	TRAJ_NA	TRBV24-1	TRBJ1-1	TRBC1	PREV	AB216	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-8	TRBJ1-2	TRBC1	PREV	AB217	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-8	TRBJ1-2	TRBC1	PREV	AB218	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-8	TRBJ1-2	TRBC1	PREV	AB219	0.000165453
TRAV_NA	TRAJ_NA	TRBV10-3	TRBJ2-7	TRBC2	PREV	AB220	0.000165453
TRAV_NA	TRAJ_NA	TRBV11-2	TRBJ2-5	TRBC2	PREV	AB221	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-8	TRBJ2-1	TRBC2	PREV	AB222	0.000165453
TRAV_NA	TRAJ_NA	TRBV27	TRBJ2-7	TRBC2	PREV	AB223	0.000165453
TRAV_NA	TRAJ_NA	TRBV27	TRBJ2-7	TRBC2	PREV	AB224	0.000165453
TRAV_NA	TRAJ_NA	TRBV27	TRBJ2-7	TRBC2	PREV	AB225	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-1	TRBJ2-1	TRBC2	PREV	AB226	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-1	TRBJ2-7	TRBC2	PREV	AB227	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-1	TRBJ2-5	TRBC2	PREV	AB228	0.000165453
TRAV_NA	TRAJ_NA	TRBV9	TRBJ1-1	TRBC1	PREV	AB229	0.000165453
TRAV1-2	TRAJ33	TRBV6-4	TRBJ2-3	TRBC2	PREV	AB230	0.000165453
TRAV1-2	TRAJ33	TRBV6-1	TRBJ1-5	TRBC1	PREV	AB231	0.000165453
TRAV1-1	TRAJ23	TRBV2	TRBJ1-2	TRBC1	PREV	AB232	0.000165453
TRAV16	TRAJ41	TRBV28	TRBJ1-1	TRBC1	PREV	AB233	0.000165453
TRAV26-1	TRAJ34	TRBV7-9	TRBJ2-5	TRBC2	PREV	AB234	0.000165453
TRAV1-2	TRAJ28	TRBV7-9	TRBJ2-7	TRBC2	PREV	AB235	0.000165453
TRAV35	TRAJ49	TRBV7-3	TRBJ2-1	TRBC2	PREV	AB236	0.000165453
TRAV16	TRAJ4	TRBV7-2	TRBJ2-5	TRBC2	PREV	AB237	0.000165453
TRAV26-1	TRAJ17	TRBV27	TRBJ1-1	TRBC1	PREV	AB238	0.000165453
TRAV22	TRAJ54	TRBV27	TRBJ2-1	TRBC2	PREV	AB239	0.000165453
TRAV22	TRAJ57	TRBV5-1	TRBJ1-3	TRBC1	PREV	AB240	0.000165453
TRAV17	TRAJ26	TRBV2	TRBJ1-1	TRBC1	PREV	AB241	0.000165453
TRAV13-1	TRAJ31	TRBV7-9	TRBJ1-2	TRBC1	PREV	AB242	0.000165453
TRAV1-1	TRAJ32	TRBV10-2	TRBJ2-1	TRBC2	PREV	AB243	0.000165453
TRAV35	TRAJ40	TRBV27	TRBJ2-1	TRBC2	PREV	AB244	0.000165453
TRAV4	TRAJ10	TRBV4-1	TRBJ2-1	TRBC2	PREV	AB245	0.000165453
TRAV21	TRAJ53	TRBV19	TRBJ2-1	TRBC2	PREV	AB246	0.000165453
TRAV12-2	TRAJ21	TRBV6-1	TRBJ1-4	TRBC1	PREV	AB247	0.000165453
TRAV38-2/DV8	TRAJ33	TRBV29-1/BV29-1	TRBJ1-6/BJ2-2	TRBC1/BC2	PREV	AB248	0.000165453
TRAV21	TRAJ49	TRBV7-3	TRBJ2-2	TRBC2	PREV	AB249	0.000165453
TRAV8-3	TRAJ27	TRBV10-2	TRBJ2-3	TRBC2	PREV	AB250	0.000165453
TRAV12-3	TRAJ4	TRBV5-1	TRBJ1-5	TRBC1	PREV	AB251	0.000165453
TRAV21	TRAJ24	TRBV9	TRBJ2-1	TRBC2	PREV	AB252	0.000165453
TRAV3	TRAJ6	TRBV27	TRBJ1-1	TRBC1	PREV	AB253	0.000165453
TRAV41	TRAJ45	TRBV27	TRBJ2-1	TRBC2	PREV	AB254	0.000165453
TRAV14/DV4/AV3	TRAJ50/AJ39	TRBV4-2/BV3-1	TRBJ2-7/BJ1-1	TRBC2/BC1	PREV	AB255	0.000165453
TRAV12-2	TRAJ52	TRBV9	TRBJ2-5	TRBC2	PREV	AB256	0.000165453
TRAV8-1	TRAJ22	TRBV6-1	TRBJ1-2	TRBC1	PREV	AB257	0.000165453
TRAV38-1	TRAJ44	TRBV2	TRBJ1-2	TRBC1	PREV	AB258	0.000165453
TRAV12-2	TRAJ24	TRBV2	TRBJ2-7	TRBC2	PREV	AB259	0.000165453
TRAV19	TRAJ34	TRBV24-1	TRBJ2-7	TRBC2	PREV	AB260	0.000165453
TRAV14/DV4	TRAJ48	TRBV7-9	TRBJ2-7	TRBC2	PREV	AB261	0.000165453
TRAV5	TRAJ9	TRBV5-1	TRBJ2-5	TRBC2	PREV	AB262	0.000165453
TRAV2	TRAJ10	TRBV20-1	TRBJ1-4	TRBC1	PREV	AB263	0.000165453
TRAV38-2/DV8	TRAJ47	TRBV19	TRBJ2-3	TRBC2	PREV	AB264	0.000165453
TRAV19	TRAJ45	TRBV6-6	TRBJ1-1	TRBC1	PREV	AB265	0.000165453
TRAV8-4	TRAJ45	TRBV4-1	TRBJ2-1	TRBC2	PREV	AB266	0.000165453
TRAV38-1	TRAJ15	TRBV6-1	TRBJ2-2	TRBC2	PREV	AB267	0.000165453
TRAV29/DV5	TRAJ20	TRBV2	TRBJ2-3	TRBC2	PREV	AB268	0.000165453
TRAV19	TRAJ45	TRBV2	TRBJ1-5	TRBC1	PREV	AB269	0.000165453
TRAV17	TRAJ52	TRBV19	TRBJ2-1	TRBC2	PREV	AB270	0.000165453
TRAV29/DV5	TRAJ53	TRBV4-2	TRBJ1-2	TRBC1	PREV	AB271	0.000165453
TRAV29/DV5	TRAJ45	TRBV5-1	TRBJ2-3	TRBC2	PREV	AB272	0.000165453
TRAV6	TRAJ34	TRBV19	TRBJ1-2	TRBC1	PREV	AB273	0.000165453
TRAV_NA	TRAJ_NA	TRBV25-1	TRBJ1-4	TRBC1	PREV	AB274	0.000165453
TRAV_NA	TRAJ_NA	TRBV25-1	TRBJ1-4	TRBC1	PREV	AB275	0.000165453
TRAV_NA	TRAJ_NA	TRBV25-1	TRBJ2-1	TRBC2	PREV	AB276	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-4	TRBJ2-1	TRBC2	PREV	AB277	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ1-1	TRBC1	PREV	AB278	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ2-7	TRBC2	PREV	AB279	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ2-7	TRBC2	PREV	AB280	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB281	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB282	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB283	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-2	TRBJ2-2	TRBC2	PREV	AB284	0.000165453
TRAV8-4	TRAJ15	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB285	0.000165453
TRAV_NA	TRAJ_NA	TRBV20-1	TRBJ2-7	TRBC2	PREV	AB286	0.000165453
TRAV_NA	TRAJ_NA	TRBV18	TRBJ2-7	TRBC2	PREV	AB287	0.000165453
TRAV_NA	TRAJ_NA	TRBV12-3	TRBJ1-1	TRBC1	PREV	AB288	0.000165453
TRAV21	TRAJ15	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB289	0.000165453
TRAV_NA	TRAJ_NA	TRBV10-3	TRBJ1-5	TRBC1	PREV	AB290	0.000165453
TRAV_NA	TRAJ_NA	TRBV10-3	TRBJ1-5	TRBC1	PREV	AB291	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-9	TRBJ2-5	TRBC2	PREV	AB292	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-9	TRBJ2-2	TRBC2	PREV	AB293	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-9	TRBJ1-4	TRBC1	PREV	AB294	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-8	TRBJ2-7	TRBC2	PREV	AB295	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-8	TRBJ2-7	TRBC2	PREV	AB296	0.000165453
TRAV_NA	TRAJ_NA	TRBV10-2	TRBJ2-5	TRBC2	PREV	AB297	0.000165453
TRAV_NA	TRAJ_NA	TRBV27	TRBJ2-6	TRBC2	PREV	AB298	0.000165453
TRAV_NA	TRAJ_NA	TRBV27	TRBJ2-6	TRBC2	PREV	AB299	0.000165453
TRAV_NA	TRAJ_NA	TRBV27	TRBJ1-2	TRBC1	PREV	AB300	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-4	TRBJ2-1	TRBC2	PREV	AB301	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-1	TRBJ2-2	TRBC2	PREV	AB302	0.000165453
TRAV_NA	TRAJ_NA	TRBV15	TRBJ2-7	TRBC2	PREV	AB303	0.000165453
TRAV4	TRAJ20	TRBV7-6	TRBJ2-7	TRBC2	PREV	AB304	0.000165453
TRAV1-2	TRAJ33	TRBV6-1	TRBJ2-1	TRBC2	PREV	AB305	0.000165453
TRAV1-2	TRAJ4	TRBV2	TRBJ2-2	TRBC2	PREV	AB306	0.000165453
TRAV25	TRAJ40	TRBV5-1	TRBJ2-3	TRBC2	PREV	AB307	0.000165453
TRAV1-2	TRAJ15	TRBV3-1	TRBJ2-3	TRBC2	PREV	AB308	0.000165453
TRAV26-1	TRAJ22	TRBV15	TRBJ1-1	TRBC1	PREV	AB309	0.000165453
TRAV25	TRAJ49	TRBV6-5	TRBJ2-7	TRBC2	PREV	AB310	0.000165453
TRAV12-2	TRAJ22	TRBV6-5	TRBJ2-2	TRBC2	PREV	AB311	0.000165453
TRAV41	TRAJ33	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB312	0.000165453
TRAV21/AV26-1	TRAJ47/AJ30	TRBV5-6	TRBJ2-3	TRBC2	PREV	AB313	0.000165453
TRAV21	TRAJ35	TRBV19	TRBJ1-6	TRBC1	PREV	AB314	0.000165453
TRAV12-1	TRAJ30	TRBV5-1	TRBJ2-7	TRBC2	PREV	AB315	0.000165453
TRAV13-2	TRAJ15	TRBV6-5	TRBJ1-4	TRBC1	PREV	AB316	0.000165453
TRAV12-2	TRAJ39	TRBV6-1	TRBJ1-3	TRBC1	PREV	AB317	0.000165453
TRAV8-1	TRAJ49	TRBV18	TRBJ2-7	TRBC2	PREV	AB318	0.000165453
TRAV8-6	TRAJ43	TRBV10-3	TRBJ2-3	TRBC2	PREV	AB319	0.000165453
TRAV35	TRAJ10	TRBV11-2	TRBJ2-1	TRBC2	PREV	AB320	0.000165453
TRAV30	TRAJ24	TRBV15	TRBJ1-5	TRBC1	PREV	AB321	0.000165453
TRAV12-2	TRAJ20	TRBV15	TRBJ2-1	TRBC2	PREV	AB322	0.000165453
TRAV13-1/AV12-2	TRAJ11/AJ48	TRBV6-1/BV20-1	TRBJ1-4/BJ2-1	TRBC1/BC2	PREV	AB323	0.000165453
TRAV9-2	TRAJ54	TRBV18	TRBJ2-5	TRBC2	PREV	AB324	0.000165453
TRAV10	TRAJ39	TRBV5-1	TRBJ2-3	TRBC2	PREV	AB325	0.000165453
TRAV12-1	TRAJ15	TRBV11-3	TRBJ2-7	TRBC2	PREV	AB326	0.000165453
TRAV36/DV7/AV9-2	TRAJ37/AJ45	TRBV6-5	TRBJ1-6	TRBC1	PREV	AB327	0.000165453
TRAV38-1	TRAJ54	TRBV6-1	TRBJ2-5	TRBC2	PREV	AB328	0.000165453
TRAV21	TRAJ15	TRBV20-1	TRBJ1-1	TRBC1	PREV	AB329	0.000165453
TRAV8-2	TRAJ15	TRBV5-8	TRBJ1-2	TRBC1	PREV	AB330	0.000165453
TRAV8-6	TRAJ15	TRBV4-1	TRBJ2-7	TRBC2	PREV	AB331	0.000165453
TRAV3	TRAJ13	TRBV9	TRBJ2-3	TRBC2	PREV	AB332	0.000165453
TRAV38-1	TRAJ57	TRBV6-5/BV25-1	TRBJ1-2/BJ1-1	TRBC1/BC1	PREV	AB333	0.000165453
TRAV20	TRAJ53	TRBV11-1	TRBJ2-5	TRBC2	PREV	AB334	0.000165453
TRAV8-2	TRAJ6	TRBV24-1	TRBJ1-2	TRBC1	PREV	AB335	0.000165453
TRAV5	TRAJ4	TRBV10-3	TRBJ2-7	TRBC2	PREV	AB336	0.000165453
TRAV13-2	TRAJ12	TRBV12-4	TRBJ2-3	TRBC2	PREV	AB337	0.000165453
TRAV19	TRAJ12	TRBV28	TRBJ2-2	TRBC2	PREV	AB338	0.000165453
TRAV13-2	TRAJ38	TRBV4-2	TRBJ2-1	TRBC2	PREV	AB339	0.000165453
TRAV38-2/DV8	TRAJ43	TRBV11-3	TRBJ2-5	TRBC2	PREV	AB340	0.000165453
TRAV14/DV4	TRAJ27	TRBV19	TRBJ2-7	TRBC2	PREV	AB341	0.000165453
TRAV38-2/DV8	TRAJ39	TRBV19	TRBJ2-7	TRBC2	PREV	AB342	0.000165453
TRAV10	TRAJ28	TRBV24-1	TRBJ1-3	TRBC_NA	PREV	AB343	0.000165453
TRAV19	TRAJ40	TRBV28	TRBJ1-5	TRBC1	PREV	AB344	0.000165453
TRAV12-2	TRAJ10	TRBV4-2	TRBJ2-5	TRBC2	PREV	AB345	0.000165453
TRAV19	TRAJ37	TRBV19	TRBJ1-4	TRBC1	PREV	AB346	0.000165453
TRAV29/DV5	TRAJ35	TRBV6-5	TRBJ1-1	TRBC1	PREV	AB347	0.000165453
TRAV8-1	TRAJ18	TRBV7-2	TRBJ2-7	TRBC2	PREV	AB348	0.000165453
TRAV19	TRAJ45	TRBV4-2	TRBJ1-5	TRBC1	PREV	AB349	0.000165453
TRAV29/DV5	TRAJ52	TRBV18	TRBJ2-7	TRBC2	PREV	AB350	0.000165453
TRAV23/DV6	TRAJ48	TRBV12-4	TRBJ2-7	TRBC2	PREV	AB351	0.000165453
TRAV6	TRAJ10	TRBV28	TRBJ2-3	TRBC2	PREV	AB352	0.000165453
TRAV13-1	TRAJ20	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB353	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ2-5	TRBC2	PREV	AB354	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ1-1	TRBC1	PREV	AB355	0.000165453
TRAV_NA	TRAJ_NA	TRBV18	TRBJ1-5	TRBC1	PREV	AB356	0.000165453
TRAV_NA	TRAJ_NA	TRBV12-3	TRBJ2-7	TRBC2	PREV	AB357	0.000165453
TRAV_NA	TRAJ_NA	TRBV2	TRBJ2-1	TRBC2	PREV	AB358	0.000165453
TRAV_NA	TRAJ_NA	TRBV10-3	TRBJ2-7	TRBC2	PREV	AB359	0.000165453
TRAV_NA	TRAJ_NA	TRBV10-3	TRBJ2-7	TRBC2	PREV	AB360	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-9	TRBJ2-3	TRBC2	PREV	AB361	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-8	TRBJ2-7	TRBC2	PREV	AB362	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-8	TRBJ2-7	TRBC2	PREV	AB363	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-8	TRBJ2-7	TRBC2	PREV	AB364	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-8	TRBJ2-1	TRBC2	PREV	AB365	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-2	TRBJ2-7	TRBC2	PREV	AB366	0.000165453
TRAV_NA	TRAJ_NA	TRBV27	TRBJ2-7	TRBC2	PREV	AB367	0.000165453
TRAV_NA	TRAJ_NA	TRBV15	TRBJ2-6	TRBC2	PREV	AB368	0.000165453
TRAV1-2	TRAJ33	TRBV6-4	TRBJ2-6	TRBC2	PREV	AB369	0.000165453
TRAV4	TRAJ5	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB370	0.000165453
TRAV4	TRAJ43	TRBV14	TRBJ1-1	TRBC1	PREV	AB371	0.000165453
TRAV1-1/AV12-1	TRAJ35/AJ21	TRBV6-2	TRBJ2-7	TRBC2	PREV	AB372	0.000165453
TRAV1-1	TRAJ29	TRBV15	TRBJ1-3	TRBC1	PREV	AB373	0.000165453
TRAV4	TRAJ33	TRBV6-1	TRBJ2-3	TRBC2	PREV	AB374	0.000165453
TRAV35	TRAJ40	TRBV7-2	TRBJ2-7	TRBC2	PREV	AB375	0.000165453
TRAV8-3/AV8-6	TRAJ45/AJ31	TRBV4-1	TRBJ2-1	TRBC2	PREV	AB376	0.000165453
TRAV20	TRAJ33	TRBV5-1	TRBJ2-5	TRBC2	PREV	AB377	0.000165453
TRAV3	TRAJ15	TRBV4-2	TRBJ2-7	TRBC2	PREV	AB378	0.000165453
TRAV25	TRAJ28	TRBV15	TRBJ1-1	TRBC1	PREV	AB379	0.000165453
TRAV17	TRAJ49	TRBV29-1	TRBJ1-1	TRBC1	PREV	AB380	0.000165453
TRAV12-2	TRAJ47	TRBV7-3	TRBJ1-3	TRBC1	PREV	AB381	0.000165453
TRAV2	TRAJ13	TRBV7-8	TRBJ1-2	TRBC1	PREV	AB382	0.000165453
TRAV38-1/AV21	TRAJ49/AJ29	TRBV7-8	TRBJ2-3	TRBC2	PREV	AB383	0.000165453
TRAV12-2	TRAJ38	TRBV4-1	TRBJ1-5	TRBC1	PREV	AB384	0.000165453
TRAV12-3	TRAJ49	TRBV19	TRBJ1-3	TRBC1	PREV	AB385	0.000165453
TRAV19	TRAJ29	TRBV2	TRBJ2-7	TRBC2	PREV	AB386	0.000165453
TRAV3	TRAJ15	TRBV2	TRBJ1-5	TRBC1	PREV	AB387	0.000165453
TRAV38-1	TRAJ49	TRBV11-2	TRBJ2-7	TRBC2	PREV	AB388	0.000165453
TRAV8-6	TRAJ34	TRBV7-2	TRBJ2-7	TRBC2	PREV	AB389	0.000165453
TRAV14/DV4	TRAJ22	TRBV7-6	TRBJ2-5	TRBC2	PREV	AB390	0.000165453
TRAV13-2	TRAJ54	TRBV2/BV24-1	TRBJ2-7/BJ2-5	TRBC2/BC2	PREV	AB391	0.000165453
TRAV12-2	TRAJ3	TRBV7-9	TRBJ1-2	TRBC1	PREV	AB392	0.000165453
TRAV14/DV4	TRAJ34	TRBV5-6	TRBJ2-5	TRBC2	PREV	AB393	0.000165453
TRAV8-3	TRAJ38	TRBV6-1	TRBJ1-3	TRBC1	PREV	AB394	0.000165453
TRAV3	TRAJ18	TRBV7-8	TRBJ2-7	TRBC2	PREV	AB395	0.000165453
TRAV29/DV5	TRAJ49	TRBV24-1	TRBJ2-1	TRBC2	PREV	AB396	0.000165453
TRAV14/DV4	TRAJ28	TRBV7-9	TRBJ1-2	TRBC1	PREV	AB397	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ1-2	TRBC1	PREV	AB398	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-3	TRBJ2-3	TRBC2	PREV	AB399	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-3	TRBJ2-1	TRBC2	PREV	AB400	0.000165453
TRAV_NA	TRAJ_NA	TRBV11-2	TRBJ2-1	TRBC2	PREV	AB401	0.000165453
TRAV_NA	TRAJ_NA	TRBV11-2	TRBJ2-1	TRBC2	PREV	AB402	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-2	TRBJ2-3	TRBC2	PREV	AB403	0.000165453
TRAV_NA	TRAJ_NA	TRBV12-4	TRBJ1-5	TRBC1	PREV	AB404	0.000165453
TRAV1-2	TRAJ33	TRBV6-4	TRBJ2-6	TRBC2	PREV	AB405	0.000165453
TRAV1-1/AV4	TRAJ40/AJ26	TRBV3-1	TRBJ2-7	TRBC2	PREV	AB406	0.000165453
TRAV8-1	TRAJ43	TRBV7-8	TRBJ1-6	TRBC1	PREV	AB407	0.000165453
TRAV9-2	TRAJ20	TRBV7-2	TRBJ2-6	TRBC2	PREV	AB408	0.000165453
TRAV8-6	TRAJ12	TRBV6-5	TRBJ1-2	TRBC1	PREV	AB409	0.000165453
TRAV12-1	TRAJ47	TRBV7-9	TRBJ1-1	TRBC1	PREV	AB410	0.000165453
TRAV25	TRAJ8	TRBV27	TRBJ2-1	TRBC2	PREV	AB411	0.000165453
TRAV8-1	TRAJ43	TRBV7-9	TRBJ2-7	TRBC2	PREV	AB412	0.000165453
TRAV8-2	TRAJ34	TRBV11-3	TRBJ2-1	TRBC2	PREV	AB413	0.000165453
TRAV12-3	TRAJ24	TRBV24-1	TRBJ2-2	TRBC2	PREV	AB414	0.000165453
TRAV12-1	TRAJ5	TRBV28	TRBJ2-5	TRBC2	PREV	AB415	0.000165453
TRAV19	TRAJ20	TRBV11-2	TRBJ2-7	TRBC2	PREV	AB416	0.000165453
TRAV14/DV4	TRAJ54	TRBV3-1	TRBJ1-1	TRBC1	PREV	AB417	0.000165453
TRAV19	TRAJ45	TRBV3-1	TRBJ2-2	TRBC2	PREV	AB418	0.000165453
TRAV_NA	TRAJ_NA	TRBV27	TRBJ1-5	TRBC1	PREV	AB419	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-1	TRBJ1-1	TRBC1	PREV	AB420	0.000165453
TRAV_NA	TRAJ_NA	TRBV3-1	TRBJ2-1	TRBC2	PREV	AB421	0.000165453
TRAV_NA	TRAJ_NA	TRBV4-1	TRBJ2-7	TRBC2	PREV	AB422	0.000165453
TRAV1-2	TRAJ20	TRBV11-2	TRBJ2-1	TRBC2	PREV	AB423	0.000165453
TRAV1-1	TRAJ8	TRBV18	TRBJ2-2	TRBC2	PREV	AB424	0.000165453
TRAV29/DV5/AV40	TRAJ49/AJ52	TRBV7-3	TRBJ2-3	TRBC2	PREV	AB425	0.000165453
TRAV8-3	TRAJ12	TRBV6-2	TRBJ2-7	TRBC2	PREV	AB426	0.000165453
TRAV29/DV5	TRAJ45	TRBV28	TRBJ2-4	TRBC2	PREV	AB427	0.000165453
TRAV_NA	TRAJ_NA	TRBV2	TRBJ2-5	TRBC2	PREV	AB428	0.000165453
TRAV_NA	TRAJ_NA	TRBV11-2	TRBJ2-1	TRBC2	PREV	AB429	0.000165453
TRAV_NA	TRAJ_NA	TRBV9	TRBJ1-6	TRBC1	PREV	AB430	0.000165453
TRAV5	TRAJ3	TRBV5-1	TRBJ2-7	TRBC2	PREV	AB431	0.000165453
TRAV38-2/DV8	TRAJ41	TRBV7-9	TRBJ2-5	TRBC2	PREV	AB432	0.000165453
TRAV8-4	TRAJ7	TRBV12-4	TRBJ2-2	TRBC2	PREV	AB433	0.000165453
TRAV12-1	TRAJ33	TRBV28	TRBJ2-5	TRBC2	PREV	AB434	0.000165453
TRAV4	TRAJ45	TRBV7-9	TRBJ2-6	TRBC2	PREV	AB435	0.000165453
TRAV29/DV5	TRAJ49	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB436	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-2	TRBJ2-7	TRBC2	PREV	AB437	0.000165453
TRAV38-1	TRAJ56	TRBV13	TRBJ2-2	TRBC2	PREV	AB438	0.000165453
TRAV_NA	TRAJ_NA	TRBV11-2	TRBJ2-1	TRBC2	PREV	AB439	0.000165453
TRAV13-1	TRAJ26	TRBV18	TRBJ2-5	TRBC2	PSTV	AB440	0.036128457
TRAV13-1/AV25	TRAJ47/AJ41	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB441	0.004906334
TRAV8-6	TRAJ37	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB442	0.004460303
TRAV12-2	TRAJ31	TRBV6-1	TRBJ1-5	TRBC1	PSTV	AB443	0.004460303
TRAV13-1	TRAJ9	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB444	0.003568243
TRAV1-2	TRAJ33	TRBV4-2	TRBJ1-6	TRBC1	PSTV	AB445	0.003122212
TRAV19	TRAJ29	TRBV6-2	TRBJ2-3	TRBC2	PSTV	AB446	0.002230152
TRAV13-2/AV8-3	TRAJ17/AJ47	TRBV9	TRBJ2-1	TRBC2	PSTV	AB447	0.001784121
TRAV5	TRAJ40	TRBV19	TRBJ2-1	TRBC2	PSTV	AB448	0.001784121
TRAV12-2	TRAJ45	TRBV7-9	TRBJ2-1	TRBC2	PSTV	AB449	0.001784121
TRAV17	TRAJ45	TRBV30	TRBJ2-1	TRBC2	PSTV	AB450	0.001784121
TRAV5	TRAJ6	TRBV5-6	TRBJ2-7	TRBC2	PSTV	AB451	0.001784121
TRAV6/AV19	TRAJ42/AJ13	TRBV19	TRBJ2-3	TRBC2	PSTV	AB452	0.001784121
TRAV_NA	TRAJ_NA	TRBV7-3	TRBJ2-3	TRBC2	PSTV	AB453	0.001784121
TRAV4	TRAJ39	TRBV20-1	TRBJ1-5	TRBC1	PSTV	AB454	0.001338091
