tra_v_genes	tra_j_genes	trb_v_genes	trb_j_genes	trb_c_genes	VAC	Fill	proportion
TRAV19	TRAJ45	TRBV5-6	TRBJ2-7	TRBC2	PSTV	AB771	0.00044603
TRAV_NA	TRAJ_NA	TRBV4-1	TRBJ1-3	TRBC1	PSTV	AB772	0.00044603
TRAV12-3	TRAJ27	TRBV3-1	TRBJ2-7	TRBC2	PSTV	AB773	0.00044603
TRAV19	TRAJ36	TRBV3-1	TRBJ1-6	TRBC1	PSTV	AB774	0.00044603
TRAV_NA	TRAJ_NA	TRBV10-1	TRBJ1-5	TRBC1	PSTV	AB775	0.00044603
TRAV27	TRAJ52	TRBV7-2	TRBJ1-1	TRBC_NA	PSTV	AB776	0.00044603
TRAV38-1	TRAJ30	TRBV19	TRBJ1-6	TRBC1	PSTV	AB777	0.00044603
TRAV13-1	TRAJ9	TRBV18	TRBJ2-1	TRBC2	PSTV	AB778	0.00044603
TRAV5	TRAJ41	TRBV13	TRBJ1-5	TRBC1	PSTV	AB779	0.00044603
TRAV6	TRAJ22	TRBV13	TRBJ2-7	TRBC2	PSTV	AB780	0.00044603
